[2024-06-25 21:52:54:183][main] INFO  zero.weather.WeatherApplication - Starting WeatherApplication using Java 17.0.11 with PID 17603 (/Users/kaon/Study/ZeroBase/project/ZB_Weather_Project/out/production/classes started by kaon in /Users/kaon/Study/ZeroBase/project/ZB_Weather_Project)
[2024-06-25 21:52:54:184][main] INFO  zero.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2024-06-25 21:52:54:360][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-06-25 21:52:54:379][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 2 JPA repository interfaces.
[2024-06-25 21:52:54:540][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2024-06-25 21:52:54:543][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-06-25 21:52:54:544][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-06-25 21:52:54:544][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
[2024-06-25 21:52:54:560][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-06-25 21:52:54:561][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 364 ms
[2024-06-25 21:52:54:609][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-06-25 21:52:54:625][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
[2024-06-25 21:52:54:637][main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2024-06-25 21:52:54:731][main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2024-06-25 21:52:55:738][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-06-25 21:52:55:833][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@71b3ba5a
[2024-06-25 21:52:55:834][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-06-25 21:52:55:1092][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2024-06-25 21:52:55:1109][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-06-25 21:52:55:1346][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-06-25 21:52:55:1350][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
[2024-06-25 21:52:55:1355][main] INFO  zero.weather.WeatherApplication - Started WeatherApplication in 1.315 seconds (process running for 1.61)
[2024-06-25 21:53:20:25857][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-06-25 21:53:20:25858][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
